L8 construct: 1000/92731 segs, 233s, esc 0 jam 0
L8 construct: 2000/92731 segs, 451s, esc 0 jam 0
L8 construct: 3000/92731 segs, 684s, esc 0 jam 0
L8 construct: 4000/92731 segs, 992s, esc 0 jam 0
L8 construct: 5000/92731 segs, 1555s, esc 0 jam 0
L8 construct: 6000/92731 segs, 2141s, esc 0 jam 0
L8 construct: 7000/92731 segs, 2739s, esc 0 jam 0
L8 construct: 8000/92731 segs, 3359s, esc 0 jam 0
L8 construct: 9000/92731 segs, 3979s, esc 0 jam 0
L8 construct: 10000/92731 segs, 4432s, esc 0 jam 0
L8 construct: 11000/92731 segs, 4906s, esc 0 jam 0
L8 construct: 12000/92731 segs, 5442s, esc 0 jam 0
L8 construct: 13000/92731 segs, 6035s, esc 0 jam 0
L8 construct: 14000/92731 segs, 6652s, esc 0 jam 0
L8 construct: 15000/92731 segs, 7291s, esc 0 jam 0
L8 construct: 16000/92731 segs, 7954s, esc 0 jam 0
L8 construct: 17000/92731 segs, 8557s, esc 0 jam 0
L8 construct: 18000/92731 segs, 9162s, esc 0 jam 0
L8 construct: 19000/92731 segs, 9798s, esc 0 jam 0
L8 construct: 20000/92731 segs, 10656s, esc 0 jam 0
L8 construct: 21000/92731 segs, 11604s, esc 0 jam 0
L8 construct: 22000/92731 segs, 12635s, esc 0 jam 0
L8 construct: 23000/92731 segs, 13648s, esc 0 jam 0
L8 construct: 24000/92731 segs, 14684s, esc 0 jam 0
L8 construct: 25000/92731 segs, 15691s, esc 0 jam 0
L8 construct: 26000/92731 segs, 16399s, esc 0 jam 0
L8 construct: 27000/92731 segs, 17935s, esc 0 jam 0
L8 construct: 28000/92731 segs, 19632s, esc 0 jam 0
L8 construct: 29000/92731 segs, 20673s, esc 0 jam 0
L8 construct: 30000/92731 segs, 21214s, esc 0 jam 0
L8 construct: 31000/92731 segs, 21653s, esc 0 jam 0
L8 construct: 32000/92731 segs, 22462s, esc 0 jam 0
L8 construct: 33000/92731 segs, 23491s, esc 0 jam 0
L8 construct: 34000/92731 segs, 24561s, esc 0 jam 0
L8 construct: 35000/92731 segs, 25581s, esc 0 jam 0
L8 construct: 36000/92731 segs, 26380s, esc 0 jam 0
L8 construct: 37000/92731 segs, 27203s, esc 0 jam 0
L8 construct: 38000/92731 segs, 27708s, esc 0 jam 0
L8 construct: 39000/92731 segs, 28072s, esc 0 jam 0
L8 construct: 40000/92731 segs, 28446s, esc 0 jam 0
L8 construct: 41000/92731 segs, 28691s, esc 0 jam 0
L8 construct: 42000/92731 segs, 28945s, esc 0 jam 0
L8 construct: 43000/92731 segs, 29225s, esc 0 jam 0
L8 construct: 44000/92731 segs, 29519s, esc 0 jam 0
L8 construct: 45000/92731 segs, 29825s, esc 0 jam 0
L8 construct: 46000/92731 segs, 30164s, esc 0 jam 0
L8 construct: 47000/92731 segs, 30557s, esc 0 jam 0
L8 construct: 48000/92731 segs, 31571s, esc 0 jam 0
L8 construct: 49000/92731 segs, 32384s, esc 0 jam 0
L8 construct: 50000/92731 segs, 32816s, esc 0 jam 0
L8 construct: 51000/92731 segs, 33217s, esc 0 jam 0
L8 construct: 52000/92731 segs, 33689s, esc 0 jam 0
L8 construct: 53000/92731 segs, 34158s, esc 0 jam 0
L8 construct: 54000/92731 segs, 35429s, esc 0 jam 0
L8 construct: 55000/92731 segs, 36044s, esc 0 jam 0
L8 construct: 56000/92731 segs, 36470s, esc 0 jam 0
L8 construct: 57000/92731 segs, 36841s, esc 0 jam 0
L8 construct: 58000/92731 segs, 37245s, esc 0 jam 0
L8 construct: 59000/92731 segs, 38454s, esc 0 jam 0
L8 construct: 60000/92731 segs, 39538s, esc 0 jam 0
L8 construct: 61000/92731 segs, 40129s, esc 0 jam 0
L8 construct: 62000/92731 segs, 40682s, esc 0 jam 0
L8 construct: 63000/92731 segs, 41339s, esc 0 jam 0
L8 construct: 64000/92731 segs, 42039s, esc 0 jam 0
L8 construct: 65000/92731 segs, 42432s, esc 0 jam 0
L8 construct: 66000/92731 segs, 42851s, esc 0 jam 0
L8 construct: 67000/92731 segs, 43277s, esc 0 jam 0
L8 construct: 68000/92731 segs, 43725s, esc 0 jam 0
L8 construct: 69000/92731 segs, 44189s, esc 0 jam 0
L8 construct: 70000/92731 segs, 44675s, esc 0 jam 0
L8 construct: 71000/92731 segs, 45152s, esc 0 jam 0
L8 construct: 72000/92731 segs, 45636s, esc 0 jam 0
L8 construct: 73000/92731 segs, 46293s, esc 0 jam 0
L8 construct: 74000/92731 segs, 46865s, esc 0 jam 0
L8 construct: 75000/92731 segs, 47234s, esc 0 jam 0
L8 construct: 76000/92731 segs, 47603s, esc 0 jam 0
L8 construct: 77000/92731 segs, 48008s, esc 0 jam 0
L8 construct: 78000/92731 segs, 48434s, esc 0 jam 0
L8 construct: 79000/92731 segs, 49698s, esc 0 jam 0
L8 construct: 80000/92731 segs, 50378s, esc 0 jam 0
L8 construct: 81000/92731 segs, 50835s, esc 0 jam 0
L8 construct: 82000/92731 segs, 51283s, esc 0 jam 0
L8 construct: 83000/92731 segs, 51742s, esc 0 jam 0
L8 construct: 84000/92731 segs, 52236s, esc 0 jam 0
L8 construct: 85000/92731 segs, 52730s, esc 0 jam 0
L8 construct: 86000/92731 segs, 54094s, esc 0 jam 0
L8 construct: 87000/92731 segs, 54714s, esc 0 jam 0
L8 construct: 88000/92731 segs, 55156s, esc 0 jam 0
L8 construct: 89000/92731 segs, 55584s, esc 0 jam 0
L8 construct: 90000/92731 segs, 56050s, esc 0 jam 0
L8 construct: 91000/92731 segs, 56523s, esc 0 jam 0
L8 construct: 92000/92731 segs, 56826s, esc 0 jam 0
L8: VERIFY DEFERRED (311738 points) — run the parallel verifier before trusting this level
L8 construct done: 311737 steps, stats {'N3': 3.945, 'N3_se': 0.002, 'N3_n': 92726, 'N9': 10.938, 'N9_se': 0.004, 'N9_n': 92700, 'N27': 33.603, 'N27_se': 0.012, 'N27_n': 92621, 'N81': 109.395, 'N81_se': 0.048, 'N81_n': 92241}
