fragile steps: 18 (|D_2-4| < 2000)
step (-2, -2, 1): |D5| = 499312
step (-2, -2, 2): |D5| = 47421
step (-2, -1, 2): |D5| = 451510
step (-2, 1, -2): |D5| = 451510
step (-2, 2, -2): |D5| = 47421
step (-2, 2, -1): |D5| = 499312
step (-1, -2, 2): |D5| = 208310
step (-1, 2, -2): |D5| = 208310
step (0, -2, 2): |D5| = 298175
step (0, 2, -2): |D5| = 298175
step (1, -2, 2): |D5| = 208310
step (1, 2, -2): |D5| = 208310
step (2, -2, 1): |D5| = 499312
step (2, -2, 2): |D5| = 47421
step (2, -1, 2): |D5| = 451510
step (2, 1, -2): |D5| = 451510
step (2, 2, -2): |D5| = 47421
step (2, 2, -1): |D5| = 499312
wrote dstar5_fragile.pkl
