L8 construct: 1000/92731 segs, 233s, esc 0 jam 0
L8 construct: 2000/92731 segs, 451s, esc 0 jam 0
L8 construct: 3000/92731 segs, 684s, esc 0 jam 0
L8 construct: 4000/92731 segs, 992s, esc 0 jam 0
L8 construct: 5000/92731 segs, 1555s, esc 0 jam 0
L8 construct: 6000/92731 segs, 2141s, esc 0 jam 0
L8 construct: 7000/92731 segs, 2739s, esc 0 jam 0
L8 construct: 8000/92731 segs, 3359s, esc 0 jam 0
L8 construct: 9000/92731 segs, 3979s, esc 0 jam 0
L8 construct: 10000/92731 segs, 4432s, esc 0 jam 0
L8 construct: 11000/92731 segs, 4906s, esc 0 jam 0
L8 construct: 12000/92731 segs, 5442s, esc 0 jam 0
L8 construct: 13000/92731 segs, 6035s, esc 0 jam 0
L8 construct: 14000/92731 segs, 6652s, esc 0 jam 0
L8 construct: 15000/92731 segs, 7291s, esc 0 jam 0
L8 construct: 16000/92731 segs, 7954s, esc 0 jam 0
L8 construct: 17000/92731 segs, 8557s, esc 0 jam 0
L8 construct: 18000/92731 segs, 9162s, esc 0 jam 0
L8 construct: 19000/92731 segs, 9798s, esc 0 jam 0
L8 construct: 20000/92731 segs, 10656s, esc 0 jam 0
L8 construct: 21000/92731 segs, 11604s, esc 0 jam 0
L8 construct: 22000/92731 segs, 12635s, esc 0 jam 0
L8 construct: 23000/92731 segs, 13648s, esc 0 jam 0
L8 construct: 24000/92731 segs, 14684s, esc 0 jam 0
L8 construct: 25000/92731 segs, 15691s, esc 0 jam 0
L8 construct: 26000/92731 segs, 16399s, esc 0 jam 0
L8 construct: 27000/92731 segs, 17935s, esc 0 jam 0
L8 construct: 28000/92731 segs, 19632s, esc 0 jam 0
L8 construct: 29000/92731 segs, 20673s, esc 0 jam 0
L8 construct: 30000/92731 segs, 21214s, esc 0 jam 0
L8 construct: 31000/92731 segs, 21653s, esc 0 jam 0
L8 construct: 32000/92731 segs, 22462s, esc 0 jam 0
L8 construct: 33000/92731 segs, 23491s, esc 0 jam 0
L8 construct: 34000/92731 segs, 24561s, esc 0 jam 0
L8 construct: 35000/92731 segs, 25581s, esc 0 jam 0
L8 construct: 36000/92731 segs, 26380s, esc 0 jam 0
L8 construct: 37000/92731 segs, 27203s, esc 0 jam 0
L8 construct: 38000/92731 segs, 27708s, esc 0 jam 0
L8 construct: 39000/92731 segs, 28072s, esc 0 jam 0
L8 construct: 40000/92731 segs, 28446s, esc 0 jam 0
